Destination,Total,Total16,Argentina,Australia,Brazil,Chile,France,Great Britain,Indonesia,Japan,Malaysia,Mexico,Russia,Singapore,South Korea,Spain,Turkey,United States
Argentina,2212879,397927,0,279,49647,216855,8303,959,21,4531,2,1475,1917,2,8296,99769,646,5225
Australia,7549270,2109825,17583,0,42552,33707,40733,1262204,87274,53175,174136,6760,28735,64739,121204,19594,42880,114549
Brazil,807006,229897,39078,791,0,20747,12851,6650,978,65955,163,3601,1865,154,11531,41321,486,23726
Chile,939992,177893,72813,3952,20370,0,12562,6668,343,3231,100,6887,2344,237,4247,22842,1019,20278
France,8334875,1110686,14253,9192,63208,15857,0,176672,5446,23536,2793,13851,70463,2512,22794,303245,327508,59356
Great Britain,9552110,1073094,12239,145692,47487,8668,170142,0,11543,52930,84638,10457,38917,58432,13171,98372,104491,215915
Indonesia,353135,135623,0,11325,0,0,0,32693,0,19748,2363,0,0,23524,33357,0,0,12613
Japan,2498891,836055,3273,10892,189735,0,12206,17255,44937,0,9526,2416,8710,2735,475166,2883,0,56321
Malaysia,3430380,1356249,0,6076,0,0,0,11273,1225156,18825,0,0,0,91002,3917,0,0,0
Mexico,1060707,837281,15918,474,6643,6404,10081,3699,167,3926,58,0,1740,50,1948,23589,294,762290
Russia,11640559,28563,251,542,432,106,2566,1740,162,1024,1555,203,0,49,3720,1393,10234,4586
Singapore,2155653,1113726,0,8584,0,0,0,0,138338,0,952261,0,0,0,0,0,0,14543
South Korea,1163655,141266,0,5078,0,0,2363,4858,32310,22893,1400,0,4545,0,0,0,0,67819
Spain,6104203,1150880,259946,6606,109552,56704,209344,302020,2007,6349,623,53158,87373,521,4340,0,4112,48225
Turkey,5876829,103585,189,3984,465,58,21690,25680,242,2715,356,206,26967,266,692,1640,0,18435
United States,50661149,15888246,215239,96426,459876,115243,189395,716260,112873,351166,77647,11489684,411537,39018,1083794,120608,409480,0
